JOBID;ST;NODES;CPUS;ACCOUNT;USER
53688504;PD;1;4;bradley_r;chewgl
53688505;PD;1;4;bradley_r;chewgl
53688506;PD;1;4;bradley_r;chewgl
53688507;PD;1;4;bradley_r;chewgl
53688508;PD;1;4;bradley_r;chewgl
53688509;PD;1;4;bradley_r;chewgl
53688510;PD;1;4;bradley_r;chewgl
53688511;PD;1;4;bradley_r;chewgl
53688512;PD;1;4;bradley_r;chewgl
53688513;PD;1;4;bradley_r;chewgl
53688514;PD;1;4;bradley_r;chewgl
53688515;PD;1;4;bradley_r;chewgl
53688516;PD;1;4;bradley_r;chewgl
53688517;PD;1;4;bradley_r;chewgl
53688518;PD;1;4;bradley_r;chewgl
53688519;PD;1;4;bradley_r;chewgl
53688520;PD;1;4;bradley_r;chewgl
53688521;PD;1;4;bradley_r;chewgl
53688522;PD;1;4;bradley_r;chewgl
53688523;PD;1;4;bradley_r;chewgl
53688524;PD;1;4;bradley_r;chewgl
53688525;PD;1;4;bradley_r;chewgl
53688526;PD;1;4;bradley_r;chewgl
53688527;PD;1;4;bradley_r;chewgl
53688528;PD;1;4;bradley_r;chewgl
53688529;PD;1;4;bradley_r;chewgl
53688530;PD;1;4;bradley_r;chewgl
53688531;PD;1;4;bradley_r;chewgl
53688532;PD;1;4;bradley_r;chewgl
53688533;PD;1;4;bradley_r;chewgl
53688534;PD;1;4;bradley_r;chewgl
53688535;PD;1;4;bradley_r;chewgl
53688536;PD;1;4;bradley_r;chewgl
53688537;PD;1;4;bradley_r;chewgl
53688538;PD;1;4;bradley_r;chewgl
53688539;PD;1;4;bradley_r;chewgl
53688540;PD;1;4;bradley_r;chewgl
53688541;PD;1;4;bradley_r;chewgl
53688542;PD;1;4;bradley_r;chewgl
53688543;PD;1;4;bradley_r;chewgl
53688544;PD;1;4;bradley_r;chewgl
53688545;PD;1;4;bradley_r;chewgl
53688546;PD;1;4;bradley_r;chewgl
53688547;PD;1;4;bradley_r;chewgl
53688548;PD;1;4;bradley_r;chewgl
53688549;PD;1;4;bradley_r;chewgl
53688550;PD;1;4;bradley_r;chewgl
53688551;PD;1;4;bradley_r;chewgl
53688552;PD;1;4;bradley_r;chewgl
53688553;PD;1;4;bradley_r;chewgl
53688554;PD;1;4;bradley_r;chewgl
53688555;PD;1;4;bradley_r;chewgl
53688556;PD;1;4;bradley_r;chewgl
53688557;PD;1;4;bradley_r;chewgl
53688558;PD;1;4;bradley_r;chewgl
53688559;PD;1;4;bradley_r;chewgl
53688560;PD;1;4;bradley_r;chewgl
53688561;PD;1;4;bradley_r;chewgl
53688562;PD;1;4;bradley_r;chewgl
53688563;PD;1;4;bradley_r;chewgl
53688564;PD;1;4;bradley_r;chewgl
53688565;PD;1;4;bradley_r;chewgl
53688566;PD;1;4;bradley_r;chewgl
53688567;PD;1;4;bradley_r;chewgl
53688568;PD;1;4;bradley_r;chewgl
53688569;PD;1;4;bradley_r;chewgl
53688570;PD;1;4;bradley_r;chewgl
53688571;PD;1;4;bradley_r;chewgl
53688572;PD;1;4;bradley_r;chewgl
53688573;PD;1;4;bradley_r;chewgl
53688574;PD;1;4;bradley_r;chewgl
53688575;PD;1;4;bradley_r;chewgl
53688576;PD;1;4;bradley_r;chewgl
53688577;PD;1;4;bradley_r;chewgl
53688578;PD;1;4;bradley_r;chewgl
53688579;PD;1;4;bradley_r;chewgl
53688580;PD;1;4;bradley_r;chewgl
53688581;PD;1;4;bradley_r;chewgl
53688582;PD;1;4;bradley_r;chewgl
53688583;PD;1;4;bradley_r;chewgl
53688584;PD;1;4;bradley_r;chewgl
53688585;PD;1;4;bradley_r;chewgl
53688586;PD;1;4;bradley_r;chewgl
53688587;PD;1;4;bradley_r;chewgl
53688588;PD;1;4;bradley_r;chewgl
53688589;PD;1;4;bradley_r;chewgl
53688590;PD;1;4;bradley_r;chewgl
53688591;PD;1;4;bradley_r;chewgl
53688592;PD;1;4;bradley_r;chewgl
53688593;PD;1;4;bradley_r;chewgl
53688594;PD;1;4;bradley_r;chewgl
53688595;PD;1;4;bradley_r;chewgl
53688596;PD;1;4;bradley_r;chewgl
53688597;PD;1;4;bradley_r;chewgl
53688598;PD;1;4;bradley_r;chewgl
53688599;PD;1;4;bradley_r;chewgl
53688600;PD;1;4;bradley_r;chewgl
53688601;PD;1;4;bradley_r;chewgl
53688602;PD;1;4;bradley_r;chewgl
53688603;PD;1;4;bradley_r;chewgl
53688604;PD;1;4;bradley_r;chewgl
53688605;PD;1;4;bradley_r;chewgl
53688606;PD;1;4;bradley_r;chewgl
53688607;PD;1;4;bradley_r;chewgl
53688608;PD;1;4;bradley_r;chewgl
53688609;PD;1;4;bradley_r;chewgl
53688610;PD;1;4;bradley_r;chewgl
53688611;PD;1;4;bradley_r;chewgl
53688612;PD;1;4;bradley_r;chewgl
53688613;PD;1;4;bradley_r;chewgl
53688614;PD;1;4;bradley_r;chewgl
53688615;PD;1;4;bradley_r;chewgl
53688616;PD;1;4;bradley_r;chewgl
53688617;PD;1;4;bradley_r;chewgl
53688618;PD;1;4;bradley_r;chewgl
53688619;PD;1;4;bradley_r;chewgl
53688620;PD;1;4;bradley_r;chewgl
53688621;PD;1;4;bradley_r;chewgl
53688622;PD;1;4;bradley_r;chewgl
53688623;PD;1;4;bradley_r;chewgl
53688624;PD;1;4;bradley_r;chewgl
53688625;PD;1;4;bradley_r;chewgl
53688626;PD;1;4;bradley_r;chewgl
53688627;PD;1;4;bradley_r;chewgl
53688628;PD;1;4;bradley_r;chewgl
53688629;PD;1;4;bradley_r;chewgl
53688630;PD;1;4;bradley_r;chewgl
53688631;PD;1;4;bradley_r;chewgl
53688632;PD;1;4;bradley_r;chewgl
53688633;PD;1;4;bradley_r;chewgl
53688634;PD;1;4;bradley_r;chewgl
53688635;PD;1;4;bradley_r;chewgl
53688636;PD;1;4;bradley_r;chewgl
53688637;PD;1;4;bradley_r;chewgl
53688638;PD;1;4;bradley_r;chewgl
53688639;PD;1;4;bradley_r;chewgl
53688640;PD;1;4;bradley_r;chewgl
53688641;PD;1;4;bradley_r;chewgl
53688642;PD;1;4;bradley_r;chewgl
53688643;PD;1;4;bradley_r;chewgl
53688644;PD;1;4;bradley_r;chewgl
53688645;PD;1;4;bradley_r;chewgl
53688646;PD;1;4;bradley_r;chewgl
53688647;PD;1;4;bradley_r;chewgl
53688648;PD;1;4;bradley_r;chewgl
53688649;PD;1;4;bradley_r;chewgl
53688650;PD;1;4;bradley_r;chewgl
53688651;PD;1;4;bradley_r;chewgl
53688652;PD;1;4;bradley_r;chewgl
53688653;PD;1;4;bradley_r;chewgl
53688654;PD;1;4;bradley_r;chewgl
53688655;PD;1;4;bradley_r;chewgl
53688656;PD;1;4;bradley_r;chewgl
53688657;PD;1;4;bradley_r;chewgl
