HOSTNAMES;CPUS;MEMORY;FEATURES
gizmof256;4;32009;campus,restart,x10sle
gizmof257;4;32009;campus,restart,x10sle
gizmof264;4;32009;campus,restart,x10sle
gizmof265;4;32009;campus,restart,x10sle
gizmof267;4;32009;campus,restart,x10sle
gizmof269;4;32009;campus,restart,x10sle
gizmof272;4;32009;campus,restart,x10sle
gizmof303;4;32009;campus,restart,x10sle
gizmof305;4;32009;campus,restart,x10sle
gizmof306;4;32009;campus,restart,x10sle
gizmof315;4;32009;campus,restart,x10sle
gizmof320;4;32009;campus,restart,x10sle
gizmof326;4;32009;campus,restart,x10sle
gizmof327;4;32009;campus,restart,x10sle
gizmof328;4;32009;campus,restart,x10sle
gizmof329;4;32009;campus,restart,x10sle
gizmof330;4;32009;campus,restart,x10sle
gizmof331;4;32009;campus,restart,x10sle
gizmof334;4;32009;campus,restart,x10sle
gizmof335;4;32009;campus,restart,x10sle
gizmof339;4;32009;campus,restart,x10sle
gizmof340;4;32009;campus,restart,x10sle
gizmof342;4;32009;campus,restart,x10sle
gizmof344;4;32009;campus,restart,x10sle
gizmof347;4;32009;campus,restart,x10sle
gizmof348;4;32009;campus,restart,x10sle
gizmof349;4;32009;campus,restart,x10sle
gizmof351;4;32009;campus,restart,x10sle
gizmof353;4;32009;campus,restart,x10sle
gizmof355;4;32009;campus,restart,x10sle
gizmof356;4;32009;campus,restart,x10sle
gizmof359;4;32009;campus,restart,x10sle
gizmof360;4;32009;campus,restart,x10sle
gizmof361;4;32009;campus,restart,x10sle
gizmof370;4;32009;campus,restart,x10sle
gizmof373;4;32009;campus,restart,x10sle
gizmof374;4;32009;campus,restart,x10sle
gizmof382;4;32009;campus,restart,x10sle
gizmof383;4;32009;campus,restart,x10sle
gizmof384;4;32009;campus,restart,x10sle
gizmof10;4;32009;campus,restart,x10sle
gizmof11;4;32009;campus,restart,x10sle
gizmof12;4;32009;campus,restart,x10sle
gizmof17;4;32009;campus,restart,x10sle
gizmof18;4;32009;campus,restart,x10sle
gizmof21;4;32009;campus,restart,x10sle
gizmof22;4;32009;campus,restart,x10sle
gizmof23;4;32009;restart,x10sle,huang_y
gizmof26;4;32009;campus,restart,x10sle
gizmof27;4;32009;campus,restart,x10sle
gizmof28;4;32009;campus,restart,x10sle
gizmof29;4;32009;campus,restart,x10sle
gizmof33;4;32009;campus,restart,x10sle
gizmof34;4;32009;campus,restart,x10sle
gizmof35;4;32009;campus,restart,x10sle
gizmof36;4;32009;campus,restart,x10sle
gizmof37;4;32009;campus,restart,x10sle
gizmof38;4;32009;campus,restart,x10sle
gizmof39;4;32009;campus,restart,x10sle
gizmof41;4;32009;campus,restart,x10sle
gizmof43;4;32009;campus,restart,x10sle
gizmof46;4;32009;campus,restart,x10sle
gizmof48;4;32008;campus,restart,x10sle
gizmof50;4;32009;campus,restart,x10sle
gizmof51;4;32009;campus,restart,x10sle
gizmof52;4;32009;campus,restart,x10sle
gizmof56;4;32009;campus,restart,x10sle
gizmof60;4;32009;campus,restart,x10sle
gizmof61;4;32009;campus,restart,x10sle
gizmof65;4;32009;campus,restart,x10sle
gizmof67;4;32009;campus,restart,x10sle
gizmof68;4;32009;campus,restart,x10sle
gizmof69;4;32009;campus,restart,x10sle
gizmof70;4;32009;campus,restart,x10sle
gizmof72;4;32009;campus,restart,x10sle
gizmof73;4;32009;campus,restart,x10sle
gizmof74;4;32009;campus,restart,x10sle
gizmof75;4;32009;campus,restart,x10sle
gizmof76;4;32008;campus,restart,x10sle
gizmof78;4;32009;campus,restart,x10sle
gizmof80;4;32009;campus,restart,x10sle
gizmof82;4;32009;campus,restart,x10sle
gizmof84;4;32009;campus,restart,x10sle
gizmof85;4;32009;campus,restart,x10sle
gizmof86;4;32009;campus,restart,x10sle
gizmof87;4;32009;campus,restart,x10sle
gizmof90;4;32009;campus,restart,x10sle
gizmof92;4;32009;campus,restart,x10sle
gizmof94;4;32009;campus,restart,x10sle
gizmof95;4;32008;campus,restart,x10sle
gizmof96;4;32009;campus,restart,x10sle
gizmof99;4;32009;campus,restart,x10sle
gizmof101;4;32009;campus,restart,x10sle
gizmof102;4;32009;campus,restart,x10sle
gizmof103;4;32009;campus,restart,x10sle
gizmof104;4;32009;campus,restart,x10sle
gizmof106;4;32009;campus,restart,x10sle
gizmof107;4;32009;campus,restart,x10sle
gizmof109;4;32009;campus,restart,x10sle
gizmof110;4;32009;campus,restart,x10sle
gizmof113;4;32009;campus,restart,x10sle
gizmof114;4;32009;campus,restart,x10sle
gizmof115;4;32009;campus,restart,x10sle
gizmof116;4;32009;campus,restart,x10sle
gizmof117;4;32009;campus,restart,x10sle
gizmof118;4;32009;campus,restart,x10sle
gizmof119;4;32009;campus,restart,x10sle
gizmof120;4;32009;campus,restart,x10sle
gizmof121;4;32009;campus,restart,x10sle
gizmof122;4;32009;campus,restart,x10sle
gizmof124;4;32009;campus,restart,x10sle
gizmof125;4;32009;campus,restart,x10sle
gizmof126;4;32009;campus,restart,x10sle
gizmof127;4;32009;campus,restart,x10sle
gizmof130;4;32009;campus,restart,x10sle
gizmof131;4;32009;campus,restart,x10sle
gizmof133;4;32009;campus,restart,x10sle
gizmof134;4;32009;campus,restart,x10sle
gizmof135;4;32009;campus,restart,x10sle
gizmof136;4;32009;campus,restart,x10sle
gizmof138;4;32009;campus,restart,x10sle
gizmof139;4;32009;campus,restart,x10sle
gizmof143;4;32009;campus,restart,x10sle
gizmof151;4;32009;campus,restart,x10sle
gizmof154;4;32009;campus,restart,x10sle
gizmof159;4;32009;campus,restart,x10sle
gizmof160;4;32009;campus,restart,x10sle
gizmof161;4;32009;campus,restart,x10sle
gizmof162;4;32009;campus,restart,x10sle
gizmof163;4;32009;campus,restart,x10sle
gizmof164;4;32009;campus,restart,x10sle
gizmof165;4;32009;campus,restart,x10sle
gizmof168;4;32009;campus,restart,x10sle
gizmof170;4;32009;campus,restart,x10sle
gizmof171;4;32009;campus,restart,x10sle
gizmof179;4;32009;campus,restart,x10sle
gizmof241;4;32009;campus,restart,x10sle
gizmof243;4;32009;campus,restart,x10sle
gizmof244;4;32009;campus,restart,x10sle
gizmof245;4;32009;campus,restart,x10sle
gizmof246;4;32009;campus,restart,x10sle
gizmof248;4;32009;campus,restart,x10sle
gizmof249;4;32009;campus,restart,x10sle
gizmof253;4;32009;campus,restart,x10sle
gizmof255;4;32009;campus,restart,x10sle
gizmof258;4;32009;campus,restart,x10sle
gizmof259;4;32009;campus,restart,x10sle
gizmof260;4;32009;campus,restart,x10sle
gizmof261;4;32009;campus,restart,x10sle
gizmof262;4;32009;campus,restart,x10sle
gizmof263;4;32009;campus,restart,x10sle
gizmof266;4;32009;campus,restart,x10sle
gizmof268;4;32009;campus,restart,x10sle
gizmof270;4;32009;campus,restart,x10sle
gizmof271;4;32009;campus,restart,x10sle
gizmof273;4;32009;campus,restart,x10sle
gizmof274;4;32009;campus,restart,x10sle
gizmof275;4;32009;campus,restart,x10sle
gizmof276;4;32009;campus,restart,x10sle
gizmof277;4;32009;campus,restart,x10sle
gizmof278;4;32008;campus,restart,x10sle
gizmof279;4;32009;campus,restart,x10sle
gizmof280;4;32009;campus,restart,x10sle
gizmof281;4;32009;campus,restart,x10sle
gizmof282;4;32009;campus,restart,x10sle
gizmof283;4;32009;campus,restart,x10sle
gizmof284;4;32009;campus,restart,x10sle
gizmof285;4;32009;campus,restart,x10sle
gizmof286;4;32009;campus,restart,x10sle
gizmof287;4;32009;campus,restart,x10sle
gizmof288;4;32009;campus,restart,x10sle
gizmof289;4;32009;campus,restart,x10sle
gizmof290;4;32009;campus,restart,x10sle
gizmof291;4;32009;campus,restart,x10sle
gizmof292;4;32009;campus,restart,x10sle
gizmof293;4;32009;campus,restart,x10sle
gizmof294;4;32009;campus,restart,x10sle
gizmof295;4;32009;campus,restart,x10sle
gizmof296;4;32009;campus,restart,x10sle
gizmof297;4;32009;campus,restart,x10sle
gizmof298;4;32009;campus,restart,x10sle
gizmof299;4;32009;campus,restart,x10sle
gizmof302;4;32009;campus,restart,x10sle
gizmof304;4;32009;campus,restart,x10sle
gizmof307;4;32009;campus,restart,x10sle
gizmof308;4;32009;campus,restart,x10sle
gizmof309;4;32009;campus,restart,x10sle
gizmof310;4;32009;campus,restart,x10sle
gizmof311;4;32009;campus,restart,x10sle
gizmof312;4;32009;campus,restart,x10sle
gizmof313;4;32009;campus,restart,x10sle
gizmof314;4;32009;campus,restart,x10sle
gizmof316;4;32009;campus,restart,x10sle
gizmof317;4;32009;campus,restart,x10sle
gizmof318;4;32009;campus,restart,x10sle
gizmof319;4;32009;campus,restart,x10sle
gizmof321;4;32009;campus,restart,x10sle
gizmof322;4;32009;campus,restart,x10sle
gizmof323;4;32009;campus,restart,x10sle
gizmof324;4;32009;campus,restart,x10sle
gizmof325;4;32009;campus,restart,x10sle
gizmof332;4;32009;campus,restart,x10sle
gizmof333;4;32009;campus,restart,x10sle
gizmof336;4;32009;campus,restart,x10sle
gizmof337;4;32009;campus,restart,x10sle
gizmof338;4;32009;campus,restart,x10sle
gizmof341;4;32009;campus,restart,x10sle
gizmof343;4;32009;campus,restart,x10sle
gizmof345;4;32009;campus,restart,x10sle
gizmof346;4;32009;campus,restart,x10sle
gizmof350;4;32009;campus,restart,x10sle
gizmof352;4;32009;campus,restart,x10sle
gizmof354;4;32009;campus,restart,x10sle
gizmof357;4;32009;campus,restart,x10sle
gizmof358;4;32009;campus,restart,x10sle
gizmof369;4;32009;campus,restart,x10sle
gizmof371;4;32009;campus,restart,x10sle
gizmof372;4;32009;campus,restart,x10sle
gizmof375;4;32009;campus,restart,x10sle
gizmof376;4;32009;campus,restart,x10sle
gizmof377;4;32009;campus,restart,x10sle
gizmof378;4;32009;campus,restart,x10sle
gizmof379;4;32009;campus,restart,x10sle
gizmof380;4;32009;campus,restart,x10sle
gizmof381;4;32009;campus,restart,x10sle
gizmof155;4;32009;campus,restart,x10sle
gizmof172;4;32009;campus,restart,x10sle
gizmof173;4;32009;campus,restart,x10sle
gizmof175;4;32009;campus,restart,x10sle
gizmof176;4;32009;campus,restart,x10sle
gizmof177;4;32009;campus,restart,x10sle
gizmof362;4;32009;campus,restart,x10sle
gizmof363;4;32009;campus,restart,x10sle
gizmof364;4;32009;campus,restart,x10sle
gizmof365;4;32009;campus,restart,x10sle
gizmof366;4;32009;campus,restart,x10sle
gizmof367;4;32009;campus,restart,x10sle
gizmof368;4;32009;campus,restart,x10sle
gizmoe19;16;1;bradley_p,br3norm,restart
gizmoe6;16;64224;bradley_p,br3norm,restart
gizmoe7;16;64224;bradley_p,br3norm,restart
gizmoe8;16;64224;bradley_p,br3norm,restart
gizmoe9;16;64224;bradley_p,br3norm,restart
gizmoe10;16;64224;bradley_p,br3norm,restart
gizmoe11;16;64224;bradley_p,br3norm,restart
gizmoe12;16;64224;bradley_p,br3norm,restart
gizmoe13;16;64224;bradley_p,br3norm,restart
gizmoe14;16;64224;bradley_p,br3norm,restart
gizmoe15;16;64224;bradley_p,br3norm,restart
gizmoe16;16;64224;bradley_p,br3norm,restart
gizmoe17;16;64224;bradley_p,br3norm,restart
gizmoe18;16;64224;bradley_p,br3norm,restart
gizmoe20;16;64224;bradley_p,br3norm,restart
gizmoe21;16;64224;bradley_p,br3norm,restart
gizmoe22;16;64224;bradley_p,br3norm,restart
gizmoe23;16;64224;bradley_p,br3norm,restart
gizmof181;4;15881;bradley_p,br3norm,restart,x10sle
gizmof182;4;15881;bradley_p,br3norm,restart,x10sle
gizmof183;4;15881;bradley_p,br3norm,restart,x10sle
gizmof184;4;15881;bradley_p,br3norm,restart,x10sle
gizmof185;4;15880;bradley_p,br3norm,restart,x10sle
gizmof186;4;15881;bradley_p,br3norm,restart,x10sle
gizmof187;4;15881;bradley_p,br3norm,restart,x10sle
gizmof188;4;15881;bradley_p,br3norm,restart,x10sle
gizmof189;4;15880;bradley_p,br3norm,restart,x10sle
gizmof190;4;15881;bradley_p,br3norm,restart,x10sle
gizmof191;4;15881;bradley_p,br3norm,restart,x10sle
gizmof192;4;15881;bradley_p,br3norm,restart,x10sle
gizmof193;4;15881;bradley_p,br3norm,restart,x10sle
gizmof194;4;15881;bradley_p,br3norm,restart,x10sle
gizmof195;4;15881;bradley_p,br3norm,restart,x10sle
gizmof196;4;15881;bradley_p,br3norm,restart,x10sle
gizmof197;4;15881;bradley_p,br3norm,restart,x10sle
gizmof198;4;15881;bradley_p,br3norm,restart,x10sle
gizmof199;4;15881;bradley_p,br3norm,restart,x10sle
gizmof200;4;15881;bradley_p,br3norm,restart,x10sle
gizmof201;4;15881;bradley_p,br3norm,restart,x10sle
gizmof202;4;15881;bradley_p,br3norm,restart,x10sle
gizmof203;4;15881;bradley_p,br3norm,restart,x10sle
gizmof204;4;15881;bradley_p,br3norm,restart,x10sle
gizmof205;4;15881;bradley_p,br3norm,restart,x10sle
gizmof206;4;15881;bradley_p,br3norm,restart,x10sle
gizmof207;4;15881;bradley_p,br3norm,restart,x10sle
gizmof208;4;15881;bradley_p,br3norm,restart,x10sle
gizmof209;4;15881;bradley_p,br3norm,restart,x10sle
gizmof210;4;15881;bradley_p,br3norm,restart,x10sle
gizmof211;4;15881;bradley_p,br3norm,restart,x10sle
gizmof212;4;15881;bradley_p,br3norm,restart,x10sle
gizmof213;4;15881;bradley_p,br3norm,restart,x10sle
gizmof214;4;15881;bradley_p,br3norm,restart,x10sle
gizmof215;4;15881;bradley_p,br3norm,restart,x10sle
gizmof216;4;15881;bradley_p,br3norm,restart,x10sle
gizmof217;4;15881;bradley_p,br3norm,restart,x10sle
gizmof218;4;15880;bradley_p,br3norm,restart,x10sle
gizmof219;4;15881;bradley_p,br3norm,restart,x10sle
gizmof220;4;15881;bradley_p,br3norm,restart,x10sle
gizmof221;4;15881;bradley_p,br3norm,restart,x10sle
gizmof222;4;15881;bradley_p,br3norm,restart,x10sle
gizmof223;4;15881;bradley_p,br3norm,restart,x10sle
gizmof224;4;15881;bradley_p,br3norm,restart,x10sle
gizmof225;4;15881;bradley_p,br3norm,restart,x10sle
gizmof226;4;15881;bradley_p,br3norm,restart,x10sle
gizmof227;4;15881;bradley_p,br3norm,restart,x10sle
gizmof228;4;15881;bradley_p,br3norm,restart,x10sle
gizmoe1;16;64224;matsen_e,restart
gizmoe2;16;64224;matsen_e,restart
gizmoe3;16;64224;halloran_b,restart
gizmoe4;16;64224;halloran_b,restart
gizmoe5;16;64224;halloran_b,restart
gizmod54;12;1;rx200,ssd
gizmod76;12;1;rx200
gizmod78;12;1;rx200
gizmod79;12;1;rx200
gizmod85;12;1;rx200
gizmod97;12;1;rx200
gizmod1;12;1;rx200
gizmod39;12;1;rx200
gizmod43;12;1;rx200
gizmod46;12;1;rx200
gizmod47;12;1;rx200
gizmod49;12;1;rx200
gizmod57;12;1;rx200,ssd
gizmod67;12;1;rx200
gizmod82;12;1;rx200
gizmod93;12;1;rx200
gizmod99;12;1;rx200
gizmod139;12;1;rx200
gizmod2;12;48166;rx200
gizmod3;12;48166;rx200
gizmod4;12;48166;rx200
gizmod5;12;48166;rx200
gizmod37;12;48166;rx200
gizmod88;12;48167;rx200
gizmod101;12;48167;rx200
gizmod141;12;48167;rx200
gizmod12;12;48166;rx200
gizmod13;12;48166;rx200
gizmod14;12;48167;rx200
gizmod38;12;48166;rx200
gizmod40;12;48166;rx200
gizmod41;12;48166;rx200
gizmod42;12;48166;rx200
gizmod44;12;48166;rx200
gizmod45;12;48166;rx200
gizmod48;12;48165;rx200
gizmod51;12;48134;rx200,ssd
gizmod52;12;48134;rx200,ssd
gizmod55;12;48134;rx200,ssd
gizmod56;12;48134;rx200,ssd
gizmod58;12;48134;rx200,ssd
gizmod59;12;48134;rx200,ssd
gizmod61;12;48166;rx200
gizmod65;12;48167;rx200
gizmod70;12;48167;rx200
gizmod71;12;48166;rx200
gizmod75;12;48167;rx200
gizmod77;12;48167;rx200
gizmod80;12;48166;rx200
gizmod81;12;48167;rx200
gizmod83;12;48166;rx200
gizmod84;12;48167;rx200
gizmod87;12;48167;rx200
gizmod89;12;48167;rx200
gizmod90;12;48166;rx200
gizmod91;12;48166;rx200
gizmod92;12;48167;rx200
gizmod94;12;48167;rx200
gizmod95;12;48166;rx200
gizmod96;12;48167;rx200
gizmod98;12;48167;rx200
gizmod100;12;48167;rx200
gizmod138;12;48167;rx200
gizmod140;12;48167;rx200
gizmod142;12;48166;rx200
gizmod144;12;48167;rx200
gizmod145;12;48166;rx200
gizmod102;12;48167;rx200
gizmod103;12;48167;rx200
gizmod7;12;48166;rx200
gizmod11;12;48166;rx200
gizmod53;12;48134;rx200,ssd
gizmod60;12;48134;rx200,ssd
gizmod66;12;48167;rx200
gizmod72;12;48166;rx200
gizmod73;12;48166;rx200
gizmod86;12;48167;rx200
gizmod136;12;48167;rx200
gizmod137;12;48167;rx200
gizmod143;12;48166;rx200
gizmof229;4;32009;br3norm,restart,x10sle,huang_y
gizmof230;4;32009;restart,x10sle,huang_y
gizmof231;4;32009;restart,x10sle,huang_y
gizmof232;4;32009;restart,x10sle,huang_y
gizmof233;4;32009;restart,x10sle,huang_y
gizmof234;4;32009;restart,x10sle,huang_y
gizmof235;4;32009;restart,x10sle,huang_y
gizmof236;4;32009;restart,x10sle,huang_y
gizmof237;4;32009;restart,x10sle,huang_y
gizmof238;4;32009;restart,x10sle,huang_y
gizmof239;4;32009;restart,x10sle,huang_y
gizmof240;4;32009;restart,x10sle,huang_y
gizmof457;4;32009;restart,x10sle,huang_y
gizmof458;4;32009;restart,x10sle,huang_y
gizmof459;4;32009;restart,x10sle,huang_y
gizmof460;4;32009;restart,x10sle,huang_y
gizmof461;4;32009;restart,x10sle,huang_y
gizmof462;4;32009;restart,x10sle,huang_y
gizmof463;4;32009;restart,x10sle,huang_y
gizmof464;4;32009;restart,x10sle,huang_y
gizmof465;4;32009;restart,x10sle,huang_y
gizmof466;4;32009;restart,x10sle,huang_y
gizmof467;4;32009;restart,x10sle,huang_y
gizmof468;4;32009;restart,x10sle,huang_y
gizmof398;4;32009;restart,x10sle,peters_u
gizmof405;4;32009;restart,x10sle,peters_u
gizmof407;4;32009;restart,x10sle,peters_u
gizmof412;4;32009;restart,x10sle,peters_u
gizmof413;4;32009;restart,x10sle,peters_u
gizmof414;4;32009;restart,x10sle,peters_u
gizmof418;4;32009;restart,x10sle,peters_u
gizmof420;4;32009;restart,x10sle,peters_u
gizmof421;4;32009;restart,x10sle,peters_u
gizmof423;4;32009;restart,x10sle,peters_u
gizmof426;4;32009;restart,x10sle,peters_u
gizmof442;4;32009;restart,x10sle,peters_u
gizmof446;4;32009;restart,x10sle,peters_u
gizmof448;4;32009;restart,x10sle,peters_u
gizmof452;4;32009;restart,x10sle,peters_u
gizmof385;4;32137;restart,x10sle,peters_u
gizmof386;4;32009;restart,x10sle,peters_u
gizmof387;4;32009;restart,x10sle,peters_u
gizmof388;4;32009;restart,x10sle,peters_u
gizmof389;4;32009;restart,x10sle,peters_u
gizmof390;4;32009;restart,x10sle,peters_u
gizmof391;4;32009;restart,x10sle,peters_u
gizmof392;4;32009;restart,x10sle,peters_u
gizmof393;4;32009;restart,x10sle,peters_u
gizmof394;4;32009;restart,x10sle,peters_u
gizmof395;4;32009;restart,x10sle,peters_u
gizmof396;4;32009;restart,x10sle,peters_u
gizmof397;4;32009;restart,x10sle,peters_u
gizmof399;4;32009;restart,x10sle,peters_u
gizmof400;4;32009;restart,x10sle,peters_u
gizmof401;4;32009;restart,x10sle,peters_u
gizmof402;4;32009;restart,x10sle,peters_u
gizmof403;4;32009;restart,x10sle,peters_u
gizmof404;4;32009;restart,x10sle,peters_u
gizmof406;4;32009;restart,x10sle,peters_u
gizmof408;4;32009;restart,x10sle,peters_u
gizmof409;4;32009;restart,x10sle,peters_u
gizmof410;4;32009;restart,x10sle,peters_u
gizmof411;4;32009;restart,x10sle,peters_u
gizmof415;4;32009;restart,x10sle,peters_u
gizmof416;4;32009;restart,x10sle,peters_u
gizmof417;4;32009;restart,x10sle,peters_u
gizmof419;4;32009;restart,x10sle,peters_u
gizmof422;4;32009;restart,x10sle,peters_u
gizmof424;4;32009;restart,x10sle,peters_u
gizmof425;4;32009;restart,x10sle,peters_u
gizmof427;4;32009;restart,x10sle,peters_u
gizmof428;4;32009;restart,x10sle,peters_u
gizmof429;4;32009;restart,x10sle,peters_u
gizmof430;4;32009;restart,x10sle,peters_u
gizmof431;4;32009;restart,x10sle,peters_u
gizmof432;4;32009;restart,x10sle,peters_u
gizmof433;4;32009;restart,x10sle,peters_u
gizmof434;4;32009;restart,x10sle,peters_u
gizmof435;4;32009;restart,x10sle,peters_u
gizmof436;4;32009;restart,x10sle,peters_u
gizmof437;4;32009;restart,x10sle,peters_u
gizmof438;4;32009;restart,x10sle,peters_u
gizmof439;4;32009;restart,x10sle,peters_u
gizmof440;4;32009;restart,x10sle,peters_u
gizmof441;4;32009;restart,x10sle,peters_u
gizmof443;4;32009;restart,x10sle,peters_u
gizmof444;4;32009;restart,x10sle,peters_u
gizmof445;4;32009;restart,x10sle,peters_u
gizmof447;4;32009;restart,x10sle,peters_u
gizmof449;4;32009;restart,x10sle,peters_u
gizmof450;4;32009;restart,x10sle,peters_u
gizmof451;4;32009;restart,x10sle,peters_u
gizmof453;4;32009;restart,x10sle,peters_u
gizmof454;4;32009;restart,x10sle,peters_u
gizmof455;4;32009;restart,x10sle,peters_u
gizmof456;4;32009;restart,x10sle,peters_u
gizmog10;16;257572;largenode,restart,x10dru
gizmog6;16;257574;largenode,restart,x10dru
gizmog14;16;257728;largenode,restart,x10dru
gizmog16;16;257728;largenode,restart,x10dru
gizmoh1;28;773669;campus,restart,largenode,x10dru
gizmoh2;28;773669;campus,restart,largenode,x10dru
gizmoh3;28;773669;campus,restart,largenode,x10dru
gizmog1;16;257574;largenode,restart,x10dru
gizmog2;16;257574;largenode,restart,x10dru
gizmog3;16;257574;largenode,restart,x10dru
gizmog4;16;257574;largenode,restart,x10dru
gizmog5;16;257574;largenode,restart,x10dru
gizmog7;16;257574;largenode,restart,x10dru
gizmog12;16;257728;largenode,restart,x10dru
gizmog17;16;257728;largenode,restart,x10dru
gizmog8;16;257573;largenode,restart,x10dru
gizmog9;16;257574;largenode,restart,x10dru
gizmog11;16;257728;largenode,restart,x10dru
gizmog13;16;257728;largenode,restart,x10dru
gizmog15;16;257728;largenode,restart,x10dru
gizmog18;16;257728;largenode,restart,x10dru
gizmog19;16;257728;largenode,restart,x10dru
