HOSTNAMES;CPUS;MEMORY;FEATURES
gizmof1;4;1;campus,restart,x10sle
gizmof167;4;1;campus,restart,x10sle
gizmof42;4;32009;campus,restart,x10sle
gizmof54;4;32009;campus,restart,x10sle
gizmof128;4;32008;campus,restart,x10sle
gizmof145;4;32009;campus,restart,x10sle
gizmof300;4;32009;campus,restart,x10sle
gizmof301;4;32009;campus,restart,x10sle
gizmof2;4;32009;campus,restart,x10sle
gizmof3;4;32009;campus,restart,x10sle
gizmof4;4;32009;campus,restart,x10sle
gizmof5;4;32009;campus,restart,x10sle
gizmof6;4;32009;campus,restart,x10sle
gizmof7;4;32009;campus,restart,x10sle
gizmof8;4;32009;campus,restart,x10sle
gizmof9;4;32009;campus,restart,x10sle
gizmof13;4;32008;campus,restart,x10sle
gizmof14;4;32009;campus,restart,x10sle
gizmof15;4;32008;campus,restart,x10sle
gizmof16;4;32009;campus,restart,x10sle
gizmof19;4;32009;campus,restart,x10sle
gizmof20;4;32009;campus,restart,x10sle
gizmof24;4;32009;restart,x10sle
gizmof25;4;32009;campus,restart,x10sle
gizmof30;4;32009;campus,restart,x10sle
gizmof31;4;32009;campus,restart,x10sle
gizmof32;4;32009;campus,restart,x10sle
gizmof40;4;32009;campus,restart,x10sle
gizmof44;4;32009;campus,restart,x10sle
gizmof45;4;32009;campus,restart,x10sle
gizmof47;4;32009;campus,restart,x10sle
gizmof49;4;32009;campus,restart,x10sle
gizmof53;4;32009;campus,restart,x10sle
gizmof55;4;32009;campus,restart,x10sle
gizmof57;4;32009;campus,restart,x10sle
gizmof58;4;32009;campus,restart,x10sle
gizmof59;4;32009;campus,restart,x10sle
gizmof62;4;32009;campus,restart,x10sle
gizmof63;4;32009;campus,restart,x10sle
gizmof64;4;32008;campus,restart,x10sle
gizmof66;4;32009;campus,restart,x10sle
gizmof71;4;32009;campus,restart,x10sle
gizmof77;4;32009;campus,restart,x10sle
gizmof79;4;32009;campus,restart,x10sle
gizmof81;4;32009;campus,restart,x10sle
gizmof83;4;32009;campus,restart,x10sle
gizmof88;4;32008;campus,restart,x10sle
gizmof89;4;32009;campus,restart,x10sle
gizmof91;4;32008;campus,restart,x10sle
gizmof93;4;32009;campus,restart,x10sle
gizmof97;4;32009;campus,restart,x10sle
gizmof98;4;32009;campus,restart,x10sle
gizmof100;4;32008;campus,restart,x10sle
gizmof105;4;32009;campus,restart,x10sle
gizmof108;4;32009;campus,restart,x10sle
gizmof111;4;32009;campus,restart,x10sle
gizmof112;4;32009;campus,restart,x10sle
gizmof123;4;32008;campus,restart,x10sle
gizmof129;4;32009;campus,restart,x10sle
gizmof132;4;32009;campus,restart,x10sle
gizmof137;4;32009;campus,restart,x10sle
gizmof140;4;32009;campus,restart,x10sle
gizmof141;4;32009;campus,restart,x10sle
gizmof142;4;32009;campus,restart,x10sle
gizmof144;4;32009;campus,restart,x10sle
gizmof146;4;32009;campus,restart,x10sle
gizmof147;4;32009;campus,restart,x10sle
gizmof148;4;32009;campus,restart,x10sle
gizmof149;4;32009;campus,restart,x10sle
gizmof150;4;32009;campus,restart,x10sle
gizmof152;4;32009;campus,restart,x10sle
gizmof153;4;32009;campus,restart,x10sle
gizmof156;4;32009;campus,restart,x10sle
gizmof157;4;32009;campus,restart,x10sle
gizmof158;4;32009;campus,restart,x10sle
gizmof166;4;32009;campus,restart,x10sle
gizmof169;4;32009;campus,restart,x10sle
gizmof174;4;32009;campus,restart,x10sle
gizmof178;4;32009;campus,restart,x10sle
gizmof180;4;32009;campus,restart,x10sle
gizmof242;4;32009;campus,restart,x10sle
gizmof247;4;32009;campus,restart,x10sle
gizmof250;4;32009;campus,restart,x10sle
gizmof251;4;32009;campus,restart,x10sle
gizmof252;4;32009;campus,restart,x10sle
gizmof254;4;32009;campus,restart,x10sle
